# June 2018
# Blast hits and expectation values
# seq_id    start-end e_val
seq_id start_end exp_val
KP992899 14829-15969 0.0
JF742836 1-1064 1.25e-129
AY828994 1-1064 1.25e-129
AP004100 14420-15428 4.48e-129
EU380956 15-1061 2.72e-121
MF621732 14376-15439 1.26e-119
AY828993 1-1064 1.26e-119
AY828992 1-1064 1.26e-119
AY828988 1-1064 1.26e-119
AY828986 1-1064 1.26e-119
AY828987 1-1064 5.88e-118
AY828990 1-1064 2.74e-116
AY828983 40-1064 2.74e-116
KC774704 22-1010 1.27e-114
KC774703 22-1010 1.27e-114
AY828989 1-1064 1.27e-114
KJ433559 15313-16401 1.65e-113
AY828984 1-1064 5.92e-113
KT883694 34-1053 7.66e-112
JF742834 55-1064 2.76e-111
AB370894 14439-15454 2.76e-111
AY225668 1-1064 2.76e-111
AY828991 1-1064 2.76e-111
AY828979 55-1064 2.76e-111
AY828978 55-1064 2.76e-111
KF746622 68-1100 9.91e-111
AB706179 3-1014 9.91e-111
JN315580 49-1052 1.28e-109
AY116360 1-1061 1.28e-109
KF746620 68-1100 4.61e-109
JN601228 40-1039 4.61e-109
KF025776 14-837 4.61e-109
AP009218 14418-15241 4.61e-109
AY833366 1-970 4.61e-109
AB928070 3-1031 1.66e-108
AB928066 3-1031 1.66e-108
AB928064 3-1031 1.66e-108
JQ769393 43-1065 1.66e-108
JQ769390 43-1065 1.66e-108
KM199637 14424-15472 5.96e-108
KM522838 14482-15524 5.96e-108
KF929330 48-1096 5.96e-108
JN315607 49-1052 5.96e-108
DQ274050 49-1052 5.96e-108
FJ609049 40-1039 2.15e-107
FJ609039 40-1039 2.15e-107
DQ497912 68-1055 2.15e-107
AB928067 3-1031 7.72e-107
KM400719 19-1034 2.77e-106
KM400715 19-1031 2.77e-106
JN315608 49-1052 2.77e-106
JQ639068 13472-14538 2.77e-106
JN601285 40-1055 2.77e-106
JN601259 40-1055 2.77e-106
JN601219 40-1055 2.77e-106
JN601198 40-1055 2.77e-106
JN086152 14449-15436 2.77e-106
FJ609135 40-1055 2.77e-106
FJ609129 40-1055 2.77e-106
FJ609123 40-1055 2.77e-106
FJ609106 40-1055 2.77e-106
FJ609089 40-1055 2.77e-106
FJ609086 40-1055 2.77e-106
FJ609078 40-1055 2.77e-106
FJ609060 40-1055 2.77e-106
FJ609059 40-1055 2.77e-106
FJ609055 40-1055 2.77e-106
FJ609033 40-1055 2.77e-106
FJ609023 40-1055 2.77e-106
FJ609021 40-1055 2.77e-106
FJ609014 40-1055 2.77e-106
FJ609008 40-1055 2.77e-106
AY828982 55-1064 2.77e-106
AY828981 55-1064 2.77e-106
JN601252 40-1039 9.98e-106
JN601205 40-1039 9.98e-106
JN601200 40-1039 9.98e-106
FJ609121 40-1039 9.98e-106
FJ609100 40-1039 9.98e-106
FJ609097 40-1039 9.98e-106
FJ609095 40-1039 9.98e-106
FJ609067 40-1039 9.98e-106
FJ609065 40-1039 9.98e-106
DQ080272 68-1055 9.98e-106
DQ497911 68-1055 9.98e-106
AY116001 68-1055 9.98e-106
AY846427 55-1090 9.98e-106
NC_037049 14481-15460 1.29e-104
KP408222 14481-15460 1.29e-104
KP722642 31-1046 1.29e-104
KJ499139 20-1032 1.29e-104
KJ499138 20-1032 1.29e-104
JN601287 40-1055 1.29e-104
JN601284 40-1055 1.29e-104
JN601283 40-1055 1.29e-104
JN601281 40-1055 1.29e-104
JN601279 40-1055 1.29e-104
JN601278 40-1055 1.29e-104
JN601271 40-1055 1.29e-104
JN601261 40-1055 1.29e-104
JN601251 40-1055 1.29e-104
JN601246 40-1055 1.29e-104
JN601243 40-1055 1.29e-104
JN601242 40-1055 1.29e-104
JN601237 40-1055 1.29e-104
JN601235 40-1055 1.29e-104
JN601225 40-1055 1.29e-104
JN601218 40-1055 1.29e-104
JN601216 40-1055 1.29e-104
JN601208 40-1055 1.29e-104
JN601203 40-1055 1.29e-104
JN601196 40-1055 1.29e-104
KC736411 25-1037 1.29e-104
HM219223 14425-15440 1.29e-104
FJ609133 40-1055 1.29e-104
FJ609127 40-1055 1.29e-104
FJ609126 40-1055 1.29e-104
FJ609125 40-1055 1.29e-104
FJ609124 40-1055 1.29e-104
FJ609119 40-1055 1.29e-104
FJ609116 40-1055 1.29e-104
FJ609113 40-1055 1.29e-104
FJ609108 40-1055 1.29e-104
FJ609101 40-1055 1.29e-104
FJ609099 40-1055 1.29e-104
FJ609093 40-1055 1.29e-104
FJ609091 40-1055 1.29e-104
FJ609080 40-1055 1.29e-104
FJ609079 40-1055 1.29e-104
FJ609077 40-1055 1.29e-104
FJ609076 40-1055 1.29e-104
FJ609074 40-1055 1.29e-104
FJ609072 40-1055 1.29e-104
FJ609057 40-1055 1.29e-104
FJ609056 40-1055 1.29e-104
FJ609048 40-1055 1.29e-104
FJ609044 40-1055 1.29e-104
FJ609040 40-1055 1.29e-104
FJ609034 40-1055 1.29e-104
FJ609032 40-1055 1.29e-104
FJ609030 40-1055 1.29e-104
FJ609026 40-1055 1.29e-104
FJ609011 40-1055 1.29e-104
FJ609004 40-1055 1.29e-104
FJ618559 14426-15441 1.29e-104
DQ080268 68-1055 1.29e-104
EF512295 58-1037 1.29e-104
AF549126 1-1001 1.29e-104
AY828980 1-1127 1.29e-104
HQ425780 14448-15435 4.64e-104
JN086154 14448-15435 4.64e-104
FJ609131 40-1039 4.64e-104
FJ609084 40-1039 4.64e-104
FJ609069 40-1039 4.64e-104
FJ609052 40-1039 4.64e-104
FJ609025 40-1039 4.64e-104
FJ609013 40-1039 4.64e-104
DQ080275 68-1055 4.64e-104
DQ080274 68-1055 4.64e-104
DQ080273 68-1055 4.64e-104
EF141180 68-1055 4.64e-104
DQ497910 68-1055 4.64e-104
EF439243 68-1055 4.64e-104
EF427612 68-1055 4.64e-104
EF392631 68-1055 4.64e-104
FJ609063 48-1055 1.67e-103
KM400718 19-1031 6.01e-103
KM400716 19-1031 6.01e-103
KF906720 14448-15460 6.01e-103
JN601289 40-1055 6.01e-103
JN601286 40-1055 6.01e-103
JN601280 40-1055 6.01e-103
JN601276 40-1055 6.01e-103
JN601273 40-1055 6.01e-103
JN601272 40-1055 6.01e-103
JN601270 40-1055 6.01e-103
JN601266 40-1055 6.01e-103
JN601264 40-1055 6.01e-103
JN601260 40-1055 6.01e-103
JN601257 40-1055 6.01e-103
JN601256 40-1055 6.01e-103
JN601239 40-1055 6.01e-103
JN601236 40-1055 6.01e-103
JN601223 40-1055 6.01e-103
JN601220 40-1055 6.01e-103
JN601214 40-1055 6.01e-103
JN601201 40-1055 6.01e-103
KF415540 68-1086 6.01e-103
GU256522 15313-16325 6.01e-103
GU586227 14427-15442 6.01e-103
FJ609137 40-1055 6.01e-103
FJ609132 40-1055 6.01e-103
FJ609117 40-1055 6.01e-103
FJ609114 40-1055 6.01e-103
FJ609111 40-1055 6.01e-103
FJ609107 40-1055 6.01e-103
FJ609104 40-1055 6.01e-103
FJ609103 40-1055 6.01e-103
FJ609098 40-1055 6.01e-103
FJ609096 40-1055 6.01e-103
FJ609092 40-1055 6.01e-103
FJ609090 40-1055 6.01e-103
FJ609087 40-1055 6.01e-103
FJ609085 40-1055 6.01e-103
FJ609083 40-1055 6.01e-103
FJ609075 40-1055 6.01e-103
FJ609073 40-1055 6.01e-103
FJ609071 40-1055 6.01e-103
FJ609066 40-1055 6.01e-103
FJ609064 40-1055 6.01e-103
FJ609061 40-1055 6.01e-103
FJ609050 40-1055 6.01e-103
FJ609047 40-1055 6.01e-103
FJ609046 40-1055 6.01e-103
FJ609045 40-1055 6.01e-103
FJ609037 40-1055 6.01e-103
FJ609035 40-1055 6.01e-103
FJ609031 40-1055 6.01e-103
FJ609024 40-1055 6.01e-103
FJ609022 40-1055 6.01e-103
FJ609016 40-1055 6.01e-103
FJ609015 40-1055 6.01e-103
FJ609010 40-1055 6.01e-103
FJ609009 40-1055 6.01e-103
FJ609007 40-1055 6.01e-103
FJ609006 40-1055 6.01e-103
FJ609003 40-1055 6.01e-103
DQ080283 70-1055 6.01e-103
EF141185 68-1080 6.01e-103
AF549127 1-1001 6.01e-103
AF549125 1-1001 6.01e-103
AB086162 40-1034 6.01e-103
KT724724 14448-15435 2.16e-102
KF925362 14448-15435 2.16e-102
KF746621 68-1100 2.16e-102
JN086149 14448-15435 2.16e-102
DQ080286 68-1055 2.16e-102
DQ080284 68-1055 2.16e-102
DQ080269 68-1052 2.16e-102
DQ080267 68-1055 2.16e-102
EF141183 68-1055 2.16e-102
DQ497899 68-1055 2.16e-102
EF456028 68-1055 2.16e-102
AB021253 91-1087 2.16e-102
AB126376 49-1090 2.16e-102
KM400714 19-1031 7.77e-102
KF415579 57-1085 7.77e-102
GU256528 14448-15435 7.77e-102
GU256525 14449-15436 7.77e-102
AY960590 40-1055 2.79e-101
JN601288 40-1055 2.79e-101
JN601277 40-1055 2.79e-101
JN601275 40-1055 2.79e-101
JN601262 40-1055 2.79e-101
JN601247 40-1055 2.79e-101
JN601221 40-1055 2.79e-101
JN601213 40-1055 2.79e-101
JN601207 40-1055 2.79e-101
JN601204 40-1055 2.79e-101
JN601199 40-1055 2.79e-101
FJ609136 40-1055 2.79e-101
FJ609134 40-1055 2.79e-101
FJ609122 40-1055 2.79e-101
FJ609120 40-1055 2.79e-101
FJ609115 40-1055 2.79e-101
FJ609105 40-1055 2.79e-101
