# June 2018
# Blast hits and expectation values
# seq_id    start-end e_val
seq_id start_end exp_val
AP009133 14374-15514 0.0
KC193757 14373-15513 0.0
KC193736 14373-15513 0.0
KC193709 14373-15513 0.0
KC193694 14373-15513 0.0
KC193775 14373-15513 0.0
KC193740 14373-15513 0.0
KC193734 14373-15513 0.0
KC193732 14373-15513 0.0
KC193729 14373-15513 0.0
KC193728 14373-15513 0.0
KC193717 14373-15513 0.0
KC193706 14373-15513 0.0
KC193705 14373-15513 0.0
KC193697 14373-15513 0.0
KC193684 14373-15513 0.0
EU552602 1-1141 0.0
KC193773 14373-15513 0.0
KC193770 14373-15513 0.0
KC193766 14373-15513 0.0
KC193751 14373-15513 0.0
KC193745 14373-15513 0.0
KC193741 14373-15513 0.0
KC193730 14373-15513 0.0
KC193711 14373-15513 0.0
KC193698 14373-15513 0.0
AB278564 1-1141 0.0
KC193752 14373-15513 0.0
KC193744 14373-15513 0.0
KC193725 14373-15513 0.0
KC193718 14373-15513 0.0
KC193707 14373-15513 0.0
KC193701 14373-15513 0.0
KC193696 14373-15513 0.0
KC193680 14373-15513 0.0
EU224004 1-1141 0.0
KC599497 1-1131 0.0
KC599473 1-1131 0.0
KC599471 1-1131 0.0
KC193772 14373-15513 0.0
KC193769 14373-15513 0.0
KC193756 14373-15513 0.0
KC193754 14373-15513 0.0
KC193750 14373-15513 0.0
KC193693 14373-15513 0.0
KC193692 14373-15513 0.0
KC193682 14373-15513 0.0
KC599541 1-1131 0.0
KC599528 1-1131 0.0
KC599499 1-1131 0.0
KC599481 1-1131 0.0
KC599480 1-1131 0.0
KC193777 14373-15513 0.0
KC193771 14373-15513 0.0
KC193753 14373-15513 0.0
KC193748 14373-15513 0.0
KC193742 14373-15513 0.0
KC193735 14373-15513 0.0
KC193723 14373-15513 0.0
KC193722 14373-15513 0.0
KC193710 14373-15513 0.0
KJ093677 1-1131 0.0
KJ093672 1-1131 0.0
KC599539 1-1131 0.0
KC599538 1-1131 0.0
KC599527 1-1131 0.0
KC599507 1-1131 0.0
KC599483 1-1131 0.0
KC599474 1-1131 0.0
